name blob
active 1
layer Layer_Enemy
iskinematic 0
center 0 0.5
scale 2 2
health 1
animation blob
hitcooldowntimer 0.2
collider -0.5 -0.9 0.3 0.15 0
hashittrigger 1
hittrigger -0.5 -0.9 0.3 0.15 1
hitrecoilspeed 10
recoiltimer 0.2
#enemy
enemytype 0
walkingspeed 5.0
istargeted 0
targetingposition -0.5 2
maxalertdistance 5
maxfollowdistance 10
mindistancetoplayer 2
aistate 0
astarcooldowntimer 0.6
healthbar offset -0.5 2.2 scale 1.0 0.25
#blob
pickupthrowtimer 1.5
explodestarttimer 0.5
explodecountdowntimer 1.0
explosioncollisionextents 1.0 1.0





