name minotaur
active 1
layer Layer_Enemy
iskinematic 0
center 0 0.5
scale 3
health 120
animation minotaur_idle
hitcooldowntimer 0.2
collider 0.2 -1.5 0.6 0.15 0
hashittrigger 1
hittrigger 0 0 1.0 1.5 1
hitrecoilspeed 10
recoiltimer 0.07
weaponscale 2 2
attackmovetimer 0.05
attackmovespeed 5
attacklowframeindex 6
attackhighframeindex 9
weaponcollider 0.7 0 0.5 1.0 1
weaponinfo 80 up -1.0 2.0 1.5 1 down -1.0 -1.3 1.5 0.8 left -2.5 0.2 1 1.5 right 0.5 0.2 1 1.5
renderbuttonoffset -1 1
#enemy
enemytype 3
walkingspeed 5
closetoplayerspeed 2
wanderingspeed 1
istargeted 0
targetingposition -0.5 2
maxalertdistance 10
maxfollowdistance 15
mindistancetoplayer 4
slowdowndistance 6
attackdistance 3.5
aistate 7
astarcooldowntimer 0.6
healthbar offset -0.5 3.3 scale 1.0 0.25
#minotaur
attackcooldowntimer 0.8
chargingtimer 0.6
alertedtimer 1.0
