name player
active 1
layer Layer_Player
iskinematic 0
center 0 0.5
scale 1
health 50
animation swordsman_idle
staggercooldowntimer 1.0
collider 0 -1.0 0.3 0.15 0
hashittrigger 1
hittrigger 0 -0.2 0.48 0.8 1
weaponscale 2 2
weaponcollider 0.2 0 1.1 1.2 1
weaponinfo 15 up -1.0 0.8 1.1 0.5 down -1.0 -1.0 1.1 0.5 left -2.3 0.2 0.7 0.8 right 0.5 0.2 0.7 0.8
attackmovetimer 0.07
attackmovespeed 2.5
attacklowframeindex 3
attackhighframeindex 6
pointlight type 0 active 1 intensity 6.0 color 1.0 1.0 1.0 1.0 atten 14 3.9 2.0
#player
stamina 100
staminagaincooldowntimer 0.8
staminagaintimerfast 0.04
staminagaintimerslow 0.16
staminadecreasetimer 0.8
checkpointplacementtimer 5.0
checkpointplacementcooldowntimer 20.0
healthpotiontimer 0.5
hitstaminacost 15
rollstaminacost 18
attackstaminacost 13
mindiffstamina 8
healthdecreasetimer 0.8
walkingspeed 4
throwingspeed 18.0
crosshairradius 4
targetingdistance 10
attackcooldowntimer 0.08
pickupcooldowntimer 0.36
dashtimer 0.6
dashcounterdivider 250
dashcooldowntimer 0.15
dashspeed 7
dustcloud scale 1 1 animation dust_brown
